"studyDbId","studyName","studyDescription","trialType","breedingProgramDbId","breedingProgramName","breedingProgramDescription","studyYear","studyDesign","locationDbId","locationName","plantingDate","harvestDate","plotWidth","plotLength","plantsPerPlot","numberBlocks","numberReps","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","folderDbId","folderName","folderDescription","managementFactors"
"6513","00AYT17MK","Assessment of Varieties of Cassava for high yield and disease resistance in an Advanced Yield Trial (17 clones)  at Mokwa 2000/2001 Breeding Season","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","","","","","","4","4","","no","no","1813","00_Mokwa",""," No ManagementFactor: "
"6514","00AYT46MK","Assessment of Varieties of Cassava for high yield and disease resistance in an Advanced Yield Trial (46 clones)  at Mokwa 2000/2001 Breeding Season","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","","","","","","4","4","","no","no","1813","00_Mokwa",""," No ManagementFactor: "
"3663","00CEJOSsel138MK","Assessment of Varieties of Cassava for high yield and disease resistance in Clonal Evaluation selections from JOS (138 clones) at Mokwa in 2000/01 Breeding Season 
","Clonal Evaluation","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-August-02","2001-August-02","","","","1","1","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3662","00CEJOSsel168MK","Assessment of Varieties of Cassava for high yield and disease resistance in Clonal Evaluation selections from JOS (168 clones) at Mokwa in 2000/01 Breeding Season 
","Clonal Evaluation","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-August-02","2001-August-02","","","","1","1","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3637","00ayt11interspecIB","Assessment of Cassava varieties by Interspecifics in a Advancded Yield Trial (11 clones) in Ibadan 2000/2001 Breeding Season 
","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-April-11","2001-June-13","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3639","00ayt13FrMK","Assessment of Varieties of Cassava for frost tolerant, high yield, disease resistance in Advanced Yield Trial (13 clones) in Mokwa 2000/2001 Breeding Season 
","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-July-20","2001-July-23","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3638","00ayt13highyldIB","Assessment of Varieties of Cassava for high yield, disease resistance in Advanced Yield Trial (13 clones) in Ibadan 2000/2001 Breeding Season 
","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-May-11","2001-July-19","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3640","00ayt17ZaselMK","Assessment of Varieties (Selections from Zaria) of Cassava for high yield, disease resistance in Advanced Yield Trial (17 clones) in Mokwa 2000/2001 Breeding Season 
","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-August-01","2001-July-23","","","","4","4","","","","1814","00_Zaria",""," No ManagementFactor: "
"3641","00ayt17highyldMM","Assessment of Varieties of Cassava for high yield, disease resistance in Advanced Yield Trial (17 clones) in MalamMadori 2000/2001 Breeding Season 
","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","7","Malam Madori","2000-August-23","2001-August-06","","","","4","4","","","","1812","00_Mmdori",""," No ManagementFactor: "
"3642","00ayt22highDMIB","Assessment of Varieties of Cassava for high yield, high dry matter, disease resistance in Advanced Yield Trial (22 clones) in Ibadan 2000/2001 Breeding Season 
","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-July-12","2001-July-19","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
