FullSampleName,germplasmName,OrigKeyFile,OriginOfSample
TMS15F1142P0004:250465388,TMS15F1142P0004,cassavaGBSkey_20160607,IITA
TMS15F1021P0003:250464911,TMS15F1021P0003,cassavaGBSkey_20160607,IITA
TMS15F1276P0003:250465968,TMS15F1276P0003,cassavaGBSkey_20160607,IITA
TMS15F1282P0001:250466007,TMS15F1282P0001,cassavaGBSkey_20160607,IITA
TMS15F1035P0002:250465011,TMS15F1035P0002,cassavaGBSkey_20160607,IITA
TMS15F1179P0024:250465452,TMS15F1179P0024,cassavaGBSkey_20160607,IITA
TMS15F1159P0006:250465430,TMS15F1159P0006,cassavaGBSkey_20160607,IITA
TMS15F1024P0006:250464990,TMS15F1024P0006,cassavaGBSkey_20160607,IITA
TMS15F1196P0010:250465572,TMS15F1196P0010,cassavaGBSkey_20160607,IITA
TMS15F1269P0008:250465951,TMS15F1269P0008,cassavaGBSkey_20160607,IITA
TMS15F1388P0001:250466523,TMS15F1388P0001,cassavaGBSkey_20160607,IITA
TMS15F1195P0009:250465561,TMS15F1195P0009,cassavaGBSkey_20160607,IITA
TMS15F1045P0004:250465026,TMS15F1045P0004,cassavaGBSkey_20160607,IITA
TMS15F1397P0005:250466570,TMS15F1397P0005,cassavaGBSkey_20160607,IITA
TMS15F1269P0004:250465949,TMS15F1269P0004,cassavaGBSkey_20160607,IITA
TMS15F1396P0007:250466565,TMS15F1396P0007,cassavaGBSkey_20160607,IITA
TMS15F1001P0001:250464861,TMS15F1001P0001,cassavaGBSkey_20160607,IITA
TMS15F1284P0008:250466017,TMS15F1284P0008,cassavaGBSkey_20160607,IITA
TMS15F1302P0020:250466059,TMS15F1302P0020,cassavaGBSkey_20160607,IITA
TMS15F1153P0009:250465409,TMS15F1153P0009,cassavaGBSkey_20160607,IITA
F4R22P01:250593195,NA,NA,NA
TMS15F1132P0003:250465370,TMS15F1132P0003,cassavaGBSkey_20160607,IITA
TMS15F1396P0001:250466560,TMS15F1396P0001,cassavaGBSkey_20160607,IITA
TMS15F1257P0002:250465910,TMS15F1257P0002,cassavaGBSkey_20160607,IITA
TMS15F1397P0001:250466568,TMS15F1397P0001,cassavaGBSkey_20160607,IITA
TMS15F1305P0008:250466077,TMS15F1305P0008,cassavaGBSkey_20160607,IITA
TMS15F1061P0003:250465056,TMS15F1061P0003,cassavaGBSkey_20160607,IITA
TMS15F1132P0001:250465369,TMS15F1132P0001,cassavaGBSkey_20160607,IITA
TMS15F1056P0002:250465037,TMS15F1056P0002,cassavaGBSkey_20160607,IITA
TMS15F1153P0025:250465414,TMS15F1153P0025,cassavaGBSkey_20160607,IITA
TMS15F1270P0001:250465952,TMS15F1270P0001,cassavaGBSkey_20160607,IITA
TMS15F1025P0001:250464993,TMS15F1025P0001,cassavaGBSkey_20160607,IITA
TMS15F1195P0010:250465562,TMS15F1195P0010,cassavaGBSkey_20160607,IITA
F4R27P05:250593228,NA,NA,NA
TMS15F1288P0001:250466024,TMS15F1288P0001,cassavaGBSkey_20160607,IITA
TMS15F1295P0001:250466035,TMS15F1295P0001,cassavaGBSkey_20160607,IITA
TMS15F1398P0008:250466574,TMS15F1398P0008,cassavaGBSkey_20160607,IITA
TMS15F1305P0017:250466080,TMS15F1305P0017,cassavaGBSkey_20160607,IITA
TMS15F1394P0006:250466551,TMS15F1394P0006,cassavaGBSkey_20160607,IITA
TMS15F1396P0004:250466562,TMS15F1396P0004,cassavaGBSkey_20160607,IITA
TMS15F1393P0006:250466543,TMS15F1393P0006,cassavaGBSkey_20160607,IITA
TMS15F1305P0007:250466076,TMS15F1305P0007,cassavaGBSkey_20160607,IITA
TMS15F1109P0003:250465275,TMS15F1109P0003,cassavaGBSkey_20160607,IITA
TMS15F1326P0004:250467063,TMS15F1326P0004,cassavaGBSkey_20160607,IITA
TMS15F1234P0001:250465795,TMS15F1234P0001,cassavaGBSkey_20160607,IITA
TMS15F1333P0001:250467074,TMS15F1333P0001,cassavaGBSkey_20160607,IITA
TMS15F1214P0002:250465683,TMS15F1214P0002,cassavaGBSkey_20160607,IITA
TMS15F1328P0001:250467066,TMS15F1328P0001,cassavaGBSkey_20160607,IITA
TMS15F1313P0003:250467030,TMS15F1313P0003,cassavaGBSkey_20160607,IITA
TMS15F1425P0002:250466811,TMS15F1425P0002,cassavaGBSkey_20160607,IITA
TMS15F1079P0025:250465175,TMS15F1079P0025,cassavaGBSkey_20160607,IITA
TMS15F1351P0003:250466280,TMS15F1351P0003,cassavaGBSkey_20160607,IITA
TMS15F1073P0005:250465136,TMS15F1073P0005,cassavaGBSkey_20160607,IITA
TMS15F1079P0020:250465173,TMS15F1079P0020,cassavaGBSkey_20160607,IITA
TMS15F1072P0005:250465127,TMS15F1072P0005,cassavaGBSkey_20160607,IITA
TMS15F1100P0005:250465254,TMS15F1100P0005,cassavaGBSkey_20160607,IITA
TMS15F1321P0003:250467048,TMS15F1321P0003,cassavaGBSkey_20160607,IITA
TMS15F1124P0001:250465316,TMS15F1124P0001,cassavaGBSkey_20160607,IITA
TMS15F1351P0001:250466279,TMS15F1351P0001,cassavaGBSkey_20160607,IITA
TMS15F1310P0020:250467022,TMS15F1310P0020,cassavaGBSkey_20160607,IITA
TMS15F1318P0006:250467043,TMS15F1318P0006,cassavaGBSkey_20160607,IITA
TMS15F1424P0004:250466799,TMS15F1424P0004,cassavaGBSkey_20160607,IITA
TMS15F1104P0001:250465265,TMS15F1104P0001,cassavaGBSkey_20160607,IITA
TMS15F1243P0002:250465817,TMS15F1243P0002,cassavaGBSkey_20160607,IITA
TMS15F1130P0007:250465327,TMS15F1130P0007,cassavaGBSkey_20160607,IITA
TMS15F1080P0004:250465178,TMS15F1080P0004,cassavaGBSkey_20160607,IITA
TMS15F1409P0006:250466711,TMS15F1409P0006,cassavaGBSkey_20160607,IITA
TMS15F1344P0002:250467107,TMS15F1344P0002,cassavaGBSkey_20160607,IITA
TMS15F1244P0004:250465827,TMS15F1244P0004,cassavaGBSkey_20160607,IITA
TMS15F1092P0016:250465193,TMS15F1092P0016,cassavaGBSkey_20160607,IITA
TMS15F1344P0009:250466260,TMS15F1344P0009,cassavaGBSkey_20160607,IITA
