Accession	Female_Parent	Male_Parent	Cross_Type
TMS13F1002P0001	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1002P0002	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1002P0003	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1002P0004	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1002P0005	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1002P0006	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1002P0007	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1002P0008	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1002P0009	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1002P0010	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1002P0011	IITA-TMS-IBA930265	IITA-TMS-MOK980068	biparental
TMS13F1003P0001	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0002	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0003	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0004	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0005	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0006	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0007	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0008	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0009	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0010	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0011	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0012	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0013	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0014	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0015	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1003P0016	IITA-TMS-IBA960557	IITA-TMS-IBA940006	biparental
TMS13F1005P0001	IITA-TMS-IBA960557	IITA-TMS-MM970806	biparental
TMS13F1005P0002	IITA-TMS-IBA960557	IITA-TMS-MM970806	biparental
TMS13F1006P0001	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0002	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0003	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0004	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0005	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0006	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0007	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0008	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0009	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0010	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0011	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0012	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0013	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0014	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0015	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0016	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0017	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0018	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0019	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0020	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0021	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0022	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0023	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0024	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0025	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0026	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0027	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0028	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1006P0029	IITA-TMS-MM960583	IITA-TMS-MOK980068	biparental
TMS13F1007P0001	IITA-TMS-IBA960869	IITA-TMS-IBA940006	biparental
TMS13F1007P0002	IITA-TMS-IBA960869	IITA-TMS-IBA940006	biparental
TMS13F1007P0003	IITA-TMS-IBA960869	IITA-TMS-IBA940006	biparental
TMS13F1007P0004	IITA-TMS-IBA960869	IITA-TMS-IBA940006	biparental
TMS13F1007P0005	IITA-TMS-IBA960869	IITA-TMS-IBA940006	biparental
TMS13F1007P0006	IITA-TMS-IBA960869	IITA-TMS-IBA940006	biparental
TMS13F1008P0001	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0002	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0003	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0004	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0005	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0006	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0007	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0009	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0011	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0012	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0014	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0015	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0016	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0017	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0018	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0019	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0020	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
