Accession	Female_Parent	Male_Parent	Cross_Type
01-1172-21-1			
01-1172-21-2			
01-1172-21-3			
01-1172-21-4			
01-1172-21-5			
01-1172-21-6			
01-1172-21-7			
01-1172(OP)-20-139-152			
01-1172(OP)-20-147-162			
01-1172(OP)-20-148-163			
01-1235A(OP)-20-101-112			
01-1235A(OP)-20-97-106			
01-1235B(OP)-20-110-121			
01-1551-21-1			
01-1551-21-15			
01-1551-21-2			
01-1551-21-3			
01-1551-21-31			
01-1551-21-4			
01-1551-21-5			
01-1551-21-6			
01-1551-21-7			
01-1551-21-8			
01-1551(OP)-20-293-322			
01-1551(OP)-20-298-327			
01-1551(OP)-20-310-341			
01-1551xMWERU-20-53-58			
01-1551xMWERU-20-54-59			
1022			
1115			
50395			
99/3575			
99-3575-21-1			
99-3575-21-10			
99-3575-21-2			
99-3575-21-27			
99-3575-21-28			
99-3575-21-3			
99-3575-21-30			
99-3575-21-33			
99-3575-21-36			
99-3575-21-39			
99-3575-21-4			
99-3575-21-5			
99-3575-21-6			
99-3575-21-8			
99-3575(OP)-20-135-148			
achicha-amanka199			
agada-gbachi-uzo160			
Albert			
ALBERT			
AR1-82			
Arubielu			
B142			
B178			
B18			
B195			
B519			
Babataba			
BGM-1006			
BGM-1010			
BGM-1023			
BGM-1024			
BGM-1043			
BGM-1081			
BGM-1105			
BGM-1110			
BGM-1116			
BGM-1120			
BGM-1133			
BGM-1134			
BGM-1140			
BGM-1150			
BGM-1152			
BGM-1155			
BGM-1164			
BGM-1191			
BGM-1218			
BGM-1243			
BGM-1253			
BGM-1292			
BGM-1294			
BGM-1310			
BGM-1314			
BGM-1331			
BGM-1333			
BGM-1335			
BGM-1344			
BGM-1345			
BGM-1354			
BGM-1361			
BGM-1364			
BGM-1377			
BGM-1379			
BGM-1388			
BGM-1410			
BGM-2104			
BGM-2192			
BIELE			
BOMA			
BRA12			
BRA163			
C19	TME3	UG110003	biparental
C243	TME3	UG110003	biparental
C33	TME3	UG110003	biparental
C39	TME3	UG110003	biparental
C4	TME3	UG110003	biparental
C413	TME3	UG110003	biparental
canopy125			
CG402-11	COL1522	COL647	biparental
CHAMANDANDAxSAUTI/19/136			
CHILA			
CM1335-4	CM462-1	COL1292	biparental
CM4574-7	CM976-15	SM301-3	biparental
CM4843-1	COL1468	VEN25	biparental
CM4919-1	COL2207	SM301-3	biparental
CM523-7	COL655A	COL1515	biparental
CM6119-5	COL72	CM849-1	biparental
CM6438-14	CM2298-3	CM1335-4	biparental
CM6740-7	COL1505	PAN51	biparental
CM6921-3	CG32-22	CM523-7	biparental
COB477	IITA-TMS-IBA972205	IITA-TMS-IBA30555	
COL1468			
COL1684			
COL2215			
CR36-5			
CR41-10			
D1-1			
D1-2			
D2-1			
D2-2			
D2-3			
D3-1			
D3-2			
D3-3			
D4-1			
D4-2			
D4-3			
D5-1			
D6-1			
D6-2			
D6-3			
danwabi177			
durogbo116			
durogbo124			
durogwo198			
ECU72			
Egecoutonou			
ege_indomie161			
ege-iyan185			
egeiyan185			
ekpe-oji-small164			
ekpe-oji-small192			
F10-30-R2			
FAM-100-LL-22-UG			
FAM-101-LL-22-UG			
FAM-102-LL-22-UG			
FAM-103-LL-22-UG			
FAM-104-LL-22-UG			
FAM-105-LL-22-UG			
FAM-106-LL-22-UG			
FAM-107-LL-22-UG			
FAM-108-LL-22-UG			
FAM-109-LL-22-UG			
FAM-10-LL-22-MW			
FAM-110-LL-22-UG			
FAM-111-LL-22-UG			
FAM-112-LL-22-UG			
FAM-113-LL-22-UG			
FAM-114-LL-22-UG			
FAM-115-LL-22-UG			
FAM-116-LL-22-MW			
FAM-117-LL-22-MW			
FAM-118-LL-22-MW			
FAM-119-LL-22-MW			
FAM-11-LL-22-MW			
FAM-120-LL-22-MW			
FAM-121-LL-22-MW			
FAM-122-LL-22-MW			
FAM-123-LL-22-MW			
FAM-124-LL-22-MW			
FAM-125-LL-22-MW			
FAM-126-LL-22-MW			
FAM-127-LL-22-MW			
FAM-128-LL-22-MW			
FAM-129-LL-22-MW			
FAM-12-LL-22-MW			
FAM-130-LL-22-MW			
FAM-131-LL-22-MW			
FAM-132-LL-22-MW			
FAM-13-LL-22-MW			
FAM-14-LL-22-MW			
FAM-15-LL-22-MW			
FAM-16-LL-22-MW			
FAM-17-LL-22-MW			
FAM-18-LL-22-MW			
FAM-19-LL-22-MW			
FAM-1-LL-22-MW			
FAM-20-LL-22-MW			
FAM-21-LL-22-MW			
FAM-22-LL-22-MW			
FAM-23-LL-22-MW			
FAM-24-LL-22-MW			
FAM-25-LL-22-MW			
FAM-26-LL-22-MW			
FAM-27-LL-22-MW			
FAM-28-LL-22-MW			
FAM-29-LL-22-MW			
FAM-2-LL-22-MW			
FAM-30-LL-22-MW			
FAM-31-LL-22-MW			
FAM-32-LL-22-MW			
FAM-33-LL-22-MW			
FAM-34-LL-22-MW			
FAM-35-LL-22-MW			
FAM-36-LL-22-MW			
FAM-37-LL-22-MW			
FAM-38-LL-22-MW			
FAM-39-LL-22-MW			
FAM-3-LL-22-MW			
FAM-40-LL-22-MW			
FAM-41-LL-22-MW			
FAM-42-LL-22-MW			
FAM-43-LL-22-MW			
FAM-44-LL-22-MW			
FAM-45-LL-22-MW			
FAM-46-LL-22-MW			
FAM-47-LL-22-MW			
FAM-48-LL-22-MW			
FAM-49-LL-22-MW			
FAM-4-LL-22-MW			
FAM-50-LL-22-MW			
FAM-51-LL-22-MW			
FAM-52-LL-22-MW			
FAM-53-LL-22-MW			
FAM-54-LL-22-MW			
FAM-55-LL-22-MW			
FAM-56-LL-22-MW			
FAM-57-LL-22-MW			
FAM-58-LL-22-MW			
FAM-59-LL-22-MW			
FAM-5-LL-22-MW			
FAM-60-LL-22-MW			
FAM-61-LL-22-MW			
FAM-62-LL-22-MW			
FAM-63-LL-22-MW			
FAM-64-LL-22-MW			
FAM-65-LL-22-MW			
FAM-66-LL-22-MW			
FAM-67-LL-22-MW			
FAM-68-LL-22-MW			
FAM-69-LL-22-MW			
FAM-6-LL-22-MW			
FAM-70-LL-22-MW			
FAM-71-LL-22-MW			
FAM-72-LL-22-MW			
FAM-73-LL-22-MW			
FAM-74-LL-22-MW			
FAM-75-LL-22-MW			
FAM-76-LL-22-MW			
FAM-77-LL-22-MW			
FAM-78-LL-22-MW			
FAM-79-LL-22-MW			
FAM-7-LL-22-MW			
FAM-80-LL-22-MW			
FAM-81-LL-22-MW			
FAM-82-LL-22-MW			
FAM-83-LL-22-MW			
FAM-84-LL-22-MW			
FAM-85-LL-22-MW			
FAM-86-LL-22-MW			
FAM-87-LL-22-MW			
FAM-88-LL-22-MW			
FAM-89-LL-22-MW			
FAM-8-LL-22-MW			
FAM-90-LL-22-MW			
FAM-91-LL-22-MW			
FAM-92-LL-22-UG			
FAM-93-LL-22-UG			
