"programName","locationName","studyYear","studyName","studyDesign","MaxNOHAV"
"IITA","Ibadan",1974,"74PYT142IB","RCBD",NA
"IITA","Ibadan",1975,"75PYT146IB","RCBD",NA
"IITA","Ibadan",1976,"76PYT266IB","RCBD",NA
"IITA","Ibadan",1976,"76UYT52IB","RCBD",NA
"IITA","Ibadan",1977,"77UYT41IB","RCBD",NA
"IITA","Ibadan",1977,"77UYT52IB","RCBD",NA
"IITA","Onne",1977,"77ayt71ON","RCBD",NA
"IITA","Ibadan",1978,"78PYT31IB","RCBD",NA
"IITA","Ibadan",1978,"78uyt30IB","RCBD",NA
"IITA","Mokwa",1978,"78ayt50MK","CRD",NA
"IITA","Mokwa",1978,"78uyt25MK","RCBD",NA
"IITA","Onne",1978,"78ayt40ON","RCBD",NA
"IITA","Onne",1978,"78ayt50ON","RCBD",NA
"IITA","Ibadan",1979,"79UYT13IB","RCBD",NA
"IITA","Ibadan",1979,"79UYT14IB","RCBD",NA
"IITA","Ibadan",1979,"79ayt49IB","RCBD",10
"IITA","Ibadan",1979,"79ayt52IB","RCBD",NA
"IITA","Ibadan",1979,"79uyt11IB","RCBD",NA
"IITA","Ibadan",1979,"79uyt18IB","RCBD",NA
"IITA","Ibadan",1979,"79uyt21IB","RCBD",NA
"IITA","Ibadan",1979,"79uyt36IB","RCBD",NA
"IITA","Ibadan",1979,"79uyt46lcnIB","RCBD",NA
"IITA","Mokwa",1979,"79AYT50MK","RCBD",NA
"IITA","Mokwa",1979,"79UYT25MK","RCBD",NA
"IITA","Mokwa",1979,"79uyt10MK","RCBD",NA
"IITA","Onne",1979,"79IYT99ON","RCBD",NA
"IITA","Onne",1979,"79ayt49ON","CRD",NA
"IITA","Onne",1979,"79uyt12ON","CRD",NA
"IITA","Ibadan",1980,"80AYT64IB","CRD",NA
"IITA","Ibadan",1980,"80UYT13lcnIB","RCBD",NA
"IITA","Ibadan",1980,"80ayt29IB","RCBD",NA
"IITA","Ibadan",1980,"80ayt30IB","RCBD",NA
"IITA","Ibadan",1980,"80ayt51IB","CRD",NA
"IITA","Ibadan",1980,"80ayt52IB","RCBD",NA
"IITA","Ibadan",1980,"80ayt53IB","RCBD",NA
"IITA","Ibadan",1980,"80ayt55IB","RCBD",NA
"IITA","Ibadan",1980,"80uyt12IB","RCBD",NA
"IITA","Ibadan",1980,"80uyt12setBIB","CRD",NA
"IITA","Ibadan",1980,"80uyt17IB","RCBD",NA
"IITA","Ibadan",1980,"80uyt30IB","RCBD",NA
"IITA","Ibadan",1980,"80uyt32IB","RCBD",NA
"IITA","Mokwa",1980,"80UYT12MK","RCBD",NA
"IITA","Mokwa",1980,"80UYT12SetbMK","RCBD",NA
"IITA","Mokwa",1980,"80UYT25MK","RCBD",NA
"IITA","Onne",1980,"80ayt49ON","RCBD",NA
"IITA","Onne",1980,"80seedlingnurseryON","Augmented",NA
"IITA","Onne",1980,"80uyt13setAON","RCBD",NA
"IITA","Onne",1980,"80uyt13setBON","RCBD",NA
